time,open,high,low,close,delta_tick,delta_price,has_delta
2026-02-02 00:00:00,1.18491,1.18523,1.18459,1.18494,-108.0,3.0000000000196536e-05,1
2026-02-02 01:00:00,1.18494,1.18568,1.18394,1.1846,100.0,-0.00034000000000000696,1
2026-02-02 02:00:00,1.18459,1.18746,1.18459,1.18665,41.0,0.0020499999999998852,1
2026-02-02 03:00:00,1.18665,1.18724,1.18526,1.18704,241.0,0.0003900000000001125,1
2026-02-02 04:00:00,1.18705,1.18746,1.18629,1.18629,-123.0,-0.0007500000000000284,1
2026-02-02 05:00:00,1.18629,1.18716,1.18629,1.18639,-18.0,9.999999999998899e-05,1
2026-02-02 06:00:00,1.18639,1.18724,1.18578,1.1863,-23.0,-9.000000000014552e-05,1
2026-02-02 07:00:00,1.1863,1.18635,1.18409,1.18505,-100.0,-0.0012399999999999078,1
2026-02-02 08:00:00,1.18506,1.18544,1.18431,1.18536,207.0,0.00029999999999996696,1
2026-02-02 09:00:00,1.18535,1.1863299999999999,1.18516,1.18534,96.0,-1.999999999990898e-05,1
2026-02-02 10:00:00,1.18534,1.18665,1.18435,1.18508,-40.0,-0.0002500000000000835,1
2026-02-02 11:00:00,1.18508,1.18651,1.18446,1.1862300000000001,76.0,0.001140000000000141,1
2026-02-02 12:00:00,1.1862300000000001,1.18702,1.18585,1.18647,53.0,0.00023999999999979593,1
2026-02-02 13:00:00,1.18647,1.18713,1.18603,1.18646,68.0,-9.999999999843467e-06,1
2026-02-02 14:00:00,1.18646,1.18698,1.1843,1.18498,-117.0,-0.0014800000000001479,1
2026-02-02 15:00:00,1.18498,1.18502,1.18179,1.18208,-73.0,-0.0028999999999999027,1
2026-02-02 16:00:00,1.18208,1.18299,1.18053,1.18215,-199.0,7.00000000000145e-05,1
2026-02-02 17:00:00,1.18215,1.18215,1.17902,1.17921,-104.0,-0.0029399999999999427,1
2026-02-02 18:00:00,1.17922,1.18076,1.17903,1.18062,-86.0,0.0014099999999999113,1
2026-02-02 19:00:00,1.18062,1.18124,1.1795,1.18,-39.0,-0.0006299999999999084,1
2026-02-02 20:00:00,1.18,1.18011,1.17775,1.17795,42.0,-0.0020400000000000418,1
2026-02-02 21:00:00,1.17794,1.17913,1.17758,1.17886,73.0,0.0009099999999999664,1
2026-02-02 22:00:00,1.17886,1.17922,1.17802,1.17912,98.0,0.000280000000000058,1
2026-02-02 23:00:00,1.17912,1.17942,1.17885,1.17904,-32.0,-9.999999999998899e-05,1
2026-02-03 00:00:00,1.17904,1.17924,1.17845,1.17895,31.0,-9.000000000014552e-05,1
2026-02-03 01:00:00,1.17895,1.17987,1.17871,1.17987,102.0,0.0009200000000000319,1
2026-02-03 02:00:00,1.17988,1.18069,1.1798,1.18062,54.0,0.0007399999999999629,1
2026-02-03 03:00:00,1.18062,1.18147,1.18015,1.18138,26.0,0.0007700000000001594,1
2026-02-03 04:00:00,1.18138,1.18142,1.18006,1.18014,-87.0,-0.0012400000000001299,1
2026-02-03 05:00:00,1.18014,1.18125,1.18008,1.18092,31.0,0.0007800000000000029,1
2026-02-03 06:00:00,1.18092,1.18164,1.18086,1.18091,-3.0,-1.0000000000065512e-05,1
2026-02-03 07:00:00,1.18091,1.1813,1.18047,1.18087,20.0,-3.999999999981796e-05,1
2026-02-03 08:00:00,1.18087,1.1816200000000001,1.18076,1.18136,25.0,0.0004899999999998794,1
2026-02-03 09:00:00,1.18136,1.18244,1.18097,1.18151,76.0,0.0001500000000000945,1
2026-02-03 10:00:00,1.18152,1.18194,1.18036,1.18126,-6.0,-0.0002500000000000835,1
2026-02-03 11:00:00,1.18126,1.18159,1.1792,1.17921,-75.0,-0.0020499999999998852,1
2026-02-03 12:00:00,1.17921,1.17998,1.17866,1.1787,94.0,-0.0005100000000000104,1
2026-02-03 13:00:00,1.1787,1.17947,1.17825,1.17871,107.0,9.999999999843467e-06,1
2026-02-03 14:00:00,1.17871,1.18,1.17866,1.17963,111.0,0.0009200000000000319,1
