time,open,high,low,close,delta_tick,delta_price,has_delta
2009-10-16 00:00:00,1.49356,1.49402,1.49345,1.49391,0.0,0.0,0
2009-10-16 00:00:00,1.49356,1.49402,1.49345,1.49391,0.0,0.0,0
2009-10-16 00:00:00,1.49356,1.49402,1.49345,1.49391,0.0,0.0,0
2009-10-16 00:00:00,1.49356,1.49402,1.49345,1.49391,0.0,0.0,0
2009-10-16 00:00:00,1.49356,1.49402,1.49345,1.49391,0.0,0.0,0
2009-10-16 00:00:00,1.49356,1.49402,1.49345,1.49391,0.0,0.0,0
2009-10-16 00:00:00,1.49356,1.49402,1.49345,1.49391,0.0,0.0,0
2009-10-16 00:00:00,1.49356,1.49402,1.49345,1.49391,0.0,0.0,0
2009-10-16 00:00:00,1.49356,1.49402,1.49345,1.49391,0.0,0.0,0
2009-10-16 00:00:00,1.49356,1.49402,1.49345,1.49391,0.0,0.0,0
2009-10-16 01:00:00,1.4939,1.49564,1.49314,1.49527,0.0,0.0,0
2009-10-16 02:00:00,1.49524,1.49644,1.49462,1.49641,0.0,0.0,0
2009-10-16 03:00:00,1.49642,1.49651,1.49479,1.49548,0.0,0.0,0
2009-10-16 04:00:00,1.49543,1.49637,1.4935,1.49395,0.0,0.0,0
2009-10-16 05:00:00,1.49397,1.49448,1.49309,1.49316,0.0,0.0,0
2009-10-16 06:00:00,1.49315,1.49381,1.49214,1.49217,0.0,0.0,0
2009-10-16 07:00:00,1.49216,1.49231,1.49108,1.49177,0.0,0.0,0
2009-10-16 08:00:00,1.49176,1.49288,1.48899,1.49059,0.0,0.0,0
2009-10-16 09:00:00,1.49054,1.49245,1.48942,1.49026,0.0,0.0,0
2009-10-16 10:00:00,1.49024,1.49245,1.48886,1.48916,0.0,0.0,0
2009-10-16 11:00:00,1.4891,1.49218,1.48895,1.49135,0.0,0.0,0
2009-10-16 12:00:00,1.49138,1.49249,1.49007,1.49048,0.0,0.0,0
2009-10-16 13:00:00,1.4905300000000001,1.4906,1.48685,1.48854,0.0,0.0,0
2009-10-16 14:00:00,1.48855,1.48859,1.4847299999999999,1.4865,0.0,0.0,0
2009-10-16 15:00:00,1.48651,1.48979,1.48604,1.4882,0.0,0.0,0
2009-10-16 16:00:00,1.48822,1.48867,1.48618,1.4875,0.0,0.0,0
2009-10-16 17:00:00,1.48749,1.491,1.4874,1.4886300000000001,0.0,0.0,0
2009-10-16 18:00:00,1.48864,1.48923,1.4872,1.48918,0.0,0.0,0
2009-10-16 19:00:00,1.48917,1.49055,1.48821,1.48916,0.0,0.0,0
2009-10-16 20:00:00,1.48914,1.49035,1.48865,1.48973,0.0,0.0,0
2009-10-16 21:00:00,1.4897,1.49039,1.48833,1.48921,0.0,0.0,0
2009-10-16 22:00:00,1.4892,1.49039,1.48894,1.49035,0.0,0.0,0
2009-10-19 00:00:00,1.48932,1.4914100000000001,1.48871,1.49136,0.0,0.0,0
2009-10-19 01:00:00,1.49134,1.49179,1.48824,1.48914,0.0,0.0,0
2009-10-19 02:00:00,1.48912,1.48941,1.48267,1.4841199999999999,0.0,0.0,0
2009-10-19 03:00:00,1.48411,1.48509,1.48325,1.4846300000000001,0.0,0.0,0
2009-10-19 04:00:00,1.48462,1.48664,1.48455,1.48633,0.0,0.0,0
2009-10-19 05:00:00,1.4863,1.48818,1.486,1.48786,0.0,0.0,0
2009-10-19 06:00:00,1.48787,1.48837,1.4872,1.4877,0.0,0.0,0
2009-10-19 07:00:00,1.48769,1.48928,1.48704,1.48823,0.0,0.0,0
2009-10-19 08:00:00,1.48822,1.49212,1.48708,1.49193,0.0,0.0,0
2009-10-19 09:00:00,1.49192,1.49454,1.4913699999999999,1.49346,0.0,0.0,0
2009-10-19 10:00:00,1.49348,1.49468,1.49221,1.49303,0.0,0.0,0
2009-10-19 11:00:00,1.49302,1.49519,1.49272,1.49406,0.0,0.0,0
2009-10-19 12:00:00,1.49407,1.4945,1.49267,1.49268,0.0,0.0,0
2009-10-19 13:00:00,1.49271,1.49414,1.49227,1.49267,0.0,0.0,0
2009-10-19 14:00:00,1.4926599999999999,1.4929299999999999,1.49048,1.49261,0.0,0.0,0
2009-10-19 15:00:00,1.4926300000000001,1.49278,1.4898799999999999,1.49006,0.0,0.0,0
2009-10-19 16:00:00,1.49007,1.49559,1.48986,1.49418,0.0,0.0,0
2009-10-19 17:00:00,1.49425,1.49617,1.49276,1.49447,0.0,0.0,0
2009-10-19 18:00:00,1.49445,1.49553,1.49395,1.49452,0.0,0.0,0
2009-10-19 19:00:00,1.4944899999999999,1.49505,1.4937,1.4946,0.0,0.0,0
2009-10-19 20:00:00,1.4945599999999999,1.49486,1.49371,1.49416,0.0,0.0,0
2009-10-19 21:00:00,1.4941499999999999,1.4947,1.4934,1.4941200000000001,0.0,0.0,0
2009-10-19 22:00:00,1.49411,1.49642,1.49371,1.49625,0.0,0.0,0
2009-10-19 23:00:00,1.4962,1.4979,1.4955,1.49647,0.0,0.0,0
2009-10-20 00:00:00,1.49645,1.4965600000000001,1.49521,1.49612,0.0,0.0,0
2009-10-20 01:00:00,1.49613,1.49755,1.49585,1.4967,0.0,0.0,0
2009-10-20 02:00:00,1.49669,1.4978500000000001,1.49573,1.4972400000000001,0.0,0.0,0
2009-10-20 03:00:00,1.4973,1.49887,1.49681,1.49863,0.0,0.0,0
2009-10-20 04:00:00,1.49864,1.49931,1.49792,1.4981499999999999,0.0,0.0,0
2009-10-20 05:00:00,1.49814,1.49841,1.49644,1.49725,0.0,0.0,0
2009-10-20 06:00:00,1.4972400000000001,1.4984600000000001,1.49653,1.49805,0.0,0.0,0
2009-10-20 07:00:00,1.49804,1.49808,1.49657,1.4978099999999999,0.0,0.0,0
2009-10-20 08:00:00,1.4978500000000001,1.4987,1.49655,1.49857,0.0,0.0,0
2009-10-20 09:00:00,1.49855,1.49866,1.4956,1.49613,0.0,0.0,0
2009-10-20 10:00:00,1.49611,1.4972699999999999,1.4954,1.49593,0.0,0.0,0
2009-10-20 11:00:00,1.49594,1.49804,1.49584,1.49736,0.0,0.0,0
2009-10-20 12:00:00,1.49737,1.49775,1.49637,1.49677,0.0,0.0,0
2009-10-20 13:00:00,1.4968,1.49869,1.49607,1.49765,0.0,0.0,0
2009-10-20 14:00:00,1.49764,1.499,1.49606,1.49786,0.0,0.0,0
2009-10-20 15:00:00,1.4978500000000001,1.49813,1.49408,1.49558,0.0,0.0,0
2009-10-20 16:00:00,1.49559,1.49584,1.49237,1.49425,0.0,0.0,0
2009-10-20 17:00:00,1.49426,1.49452,1.48823,1.49042,0.0,0.0,0
2009-10-20 18:00:00,1.49043,1.49113,1.48885,1.49063,0.0,0.0,0
2009-10-20 19:00:00,1.49064,1.49197,1.49064,1.49151,0.0,0.0,0
2009-10-20 20:00:00,1.4915,1.49309,1.49139,1.49265,0.0,0.0,0
2009-10-20 21:00:00,1.49264,1.4929999999999999,1.49161,1.49289,0.0,0.0,0
2009-10-20 22:00:00,1.49288,1.49451,1.49287,1.49445,0.0,0.0,0
2009-10-20 23:00:00,1.4944600000000001,1.4944600000000001,1.49336,1.49396,0.0,0.0,0
2009-10-21 00:00:00,1.49395,1.49429,1.49332,1.4935800000000001,0.0,0.0,0
2009-10-21 01:00:00,1.49356,1.49359,1.49221,1.49301,0.0,0.0,0
2009-10-21 02:00:00,1.49302,1.49335,1.49167,1.4923199999999999,0.0,0.0,0
2009-10-21 03:00:00,1.49233,1.49269,1.4898,1.48984,0.0,0.0,0
2009-10-21 04:00:00,1.48982,1.49156,1.48879,1.49132,0.0,0.0,0
2009-10-21 05:00:00,1.4913,1.4923600000000001,1.49118,1.49227,0.0,0.0,0
2009-10-21 06:00:00,1.49228,1.49329,1.4922,1.4929700000000001,0.0,0.0,0
2009-10-21 07:00:00,1.49303,1.49376,1.49248,1.49265,0.0,0.0,0
2009-10-21 08:00:00,1.49268,1.49459,1.49218,1.49349,0.0,0.0,0
2009-10-21 09:00:00,1.4935,1.49642,1.49334,1.49547,0.0,0.0,0
2009-10-21 10:00:00,1.49548,1.4957799999999999,1.49424,1.49515,0.0,0.0,0
2009-10-21 11:00:00,1.49513,1.49525,1.49281,1.4934,0.0,0.0,0
2009-10-21 12:00:00,1.49338,1.49489,1.49251,1.49368,0.0,0.0,0
2009-10-21 13:00:00,1.49367,1.49379,1.49062,1.49197,0.0,0.0,0
2009-10-21 14:00:00,1.49196,1.49313,1.49119,1.49276,0.0,0.0,0
2009-10-21 15:00:00,1.49274,1.4999500000000001,1.4926,1.49803,0.0,0.0,0
2009-10-21 16:00:00,1.49802,1.5017,1.4978799999999999,1.4999,0.0,0.0,0
2009-10-21 17:00:00,1.49988,1.50183,1.49839,1.50074,0.0,0.0,0
