time,open,high,low,close,delta_tick,delta_price,has_delta
2026-01-21 00:00:00,1.17241,1.17255,1.17198,1.17206,12.0,-0.00034999999999985043,1
2026-01-21 01:00:00,1.17218,1.17287,1.17215,1.1727,-4.0,0.0006399999999999739,1
2026-01-21 02:00:00,1.1727,1.17271,1.17164,1.17235,-4.0,-0.0003500000000000725,1
2026-01-21 03:00:00,1.17235,1.17341,1.17225,1.17288,-6.0,0.0005299999999999194,1
2026-01-21 04:00:00,1.17288,1.17316,1.17241,1.17262,5.0,-0.00025999999999992696,1
2026-01-21 05:00:00,1.17262,1.17287,1.17103,1.17187,-51.0,-0.0007500000000000284,1
2026-01-21 06:00:00,1.17187,1.17203,1.17139,1.1718,18.0,-7.00000000000145e-05,1
2026-01-21 07:00:00,1.17179,1.17215,1.17154,1.17172,-30.0,-7.999999999985796e-05,1
2026-01-21 08:00:00,1.17172,1.1724999999999999,1.1715200000000001,1.17237,111.0,0.0006499999999998174,1
2026-01-21 09:00:00,1.17237,1.17253,1.17099,1.17168,-48.0,-0.0006899999999998574,1
2026-01-21 10:00:00,1.17167,1.1718600000000001,1.17049,1.17109,-76.0,-0.0005900000000000905,1
2026-01-21 11:00:00,1.17109,1.17124,1.17045,1.17055,-57.0,-0.0005399999999999849,1
2026-01-21 12:00:00,1.17055,1.17084,1.17013,1.17069,34.0,0.000140000000000029,1
2026-01-21 13:00:00,1.17069,1.17204,1.17038,1.17141,62.0,0.0007200000000000539,1
2026-01-21 14:00:00,1.17141,1.17357,1.1712,1.17346,101.0,0.0020499999999998852,1
2026-01-21 15:00:00,1.17346,1.1743000000000001,1.17285,1.17395,20.0,0.00045000000000006146,1
2026-01-21 16:00:00,1.17394,1.1740599999999999,1.1715,1.17245,-1.0,-0.0014600000000000168,1
2026-01-21 17:00:00,1.17245,1.17285,1.17004,1.1702,-109.0,-0.0022500000000000853,1
2026-01-21 18:00:00,1.1702,1.17107,1.1694499999999999,1.17031,91.0,0.0001100000000000545,1
2026-01-21 19:00:00,1.17031,1.17114,1.1697,1.17027,11.0,-2.999999999997449e-05,1
2026-01-21 20:00:00,1.17027,1.17032,1.1693500000000001,1.16968,-67.0,-0.0006099999999999994,1
2026-01-21 21:00:00,1.16967,1.17053,1.16768,1.16913,37.0,-0.0005299999999999194,1
2026-01-21 22:00:00,1.16913,1.1692,1.1676199999999999,1.16868,11.0,-0.00046999999999997044,1
2026-01-21 23:00:00,1.16868,1.16892,1.1682,1.1682,-31.0,-0.0004700000000001925,1
2026-01-22 00:00:00,1.1682,1.16862,1.1681300000000001,1.1684700000000001,39.0,0.0002700000000002145,1
2026-01-22 01:00:00,1.16851,1.16853,1.16697,1.16727,-41.0,-0.0012000000000000899,1
2026-01-22 02:00:00,1.16727,1.16897,1.16726,1.16873,79.0,0.0014600000000000168,1
